word	freq	cap_ratio
partition	12	0.583
payload	12	0.167
perception	12	0.500
pict	12	0.250
plywood	12	0.167
poly	12	0.500
pour	12	0.333
preeklampsia	12	0.250
preference	12	0.417
privilege	12	0.083
profitable	12	0.167
puff	12	0.083
reagent	12	0.417
really	12	0.167
regimen	12	0.083
relate	12	0.250
reload	12	0.500
restorative	12	0.250
revival	12	0.667
rust	12	0.667
schizophrenia	12	0.167
screenshoot	12	0.417
setter	12	0.000
shaft	12	0.333
shaman	12	0.500
shut	12	0.583
shuttlecock	12	0.167
skate	12	0.333
slack	12	0.667
sneaker	12	0.250
sophisticated	12	0.000
sprite	12	0.583
teamviewer	12	0.500
terma	12	0.250
terrorism	12	0.417
thariqat	12	0.500
theologi	12	0.167
thun	12	0.167
timber	12	0.667
tofu	12	0.500
tonic	12	0.417
topaz	12	0.667
torrent	12	0.333
tread	12	0.333
troll	12	0.167
unknown	12	0.250
vacancy	12	0.500
vest	12	0.250
ville	12	0.583
void	12	0.333
waffle	12	0.500
waist	12	0.167
workplace	12	0.583
activation	11	0.636
additional	11	0.182
aggregator	11	0.182
also	11	0.455
ankle	11	0.182
appetite	11	0.091
artistic	11	0.364
autoclave	11	0.091
auxiliary	11	0.273
aves	11	0.636
beans	11	0.545
below	11	0.455
bogey	11	0.182
bootcamp	11	0.455
both	11	0.364
breeder	11	0.273
bridging	11	0.273
brightness	11	0.182
bronchitis	11	0.091
caddy	11	0.273
caliper	11	0.000
calm	11	0.545
cane	11	0.273
capsaicin	11	0.273
cardiac	11	0.273
cartoon	11	0.636
ceiling	11	0.000
chakra	11	0.545
charade	11	0.364
checkout	11	0.455
cheers	11	0.545
chiropractic	11	0.455
chopper	11	0.636
classical	11	0.636
cleanser	11	0.091
collateral	11	0.273
colon	11	0.273
competency	11	0.273
complicated	11	0.182
courtesy	11	0.182
demos	11	0.545
dirty	11	0.545
dubbing	11	0.182
dwarf	11	0.273
earthquake	11	0.545
edelweiss	11	0.455
educator	11	0.545
endorphin	11	0.182
enemy	11	0.636
equestrian	11	0.636
exam	11	0.273
farewell	11	0.455
faster	11	0.636
fastfood	11	0.364
fertility	11	0.636
finder	11	0.636
float	11	0.364
gardenia	11	0.455
gemeente	11	0.273
ginkgo	11	0.455
gourmet	11	0.545
grassroot	11	0.091
handsome	11	0.545
holistic	11	0.182
idealitas	11	0.182
inbound	11	0.000
inclusive	11	0.636
incubator	11	0.545
informed	11	0.273
inhaler	11	0.182
inlet	11	0.091
institutional	11	0.455
integer	11	0.000
intestinal	11	0.455
juggling	11	0.636
juicy	11	0.636
kethoprak	11	0.273
kickback	11	0.364
koinonia	11	0.545
latest	11	0.364
lazy	11	0.091
length	11	0.273
lightweight	11	0.455
listen	11	0.636
loch	11	0.636
longboat	11	0.182
luck	11	0.364
manus	11	0.364
maybe	11	0.545
mechanism	11	0.455
memorable	11	0.182
mentalist	11	0.364
mosaic	11	0.455
muffin	11	0.091
myself	11	0.636
nightmare	11	0.636
occupancy	11	0.182
others	11	0.091
outing	11	0.273
outside	11	0.273
pecan	11	0.091
pedicure	11	0.000
pelu	11	0.273
performer	11	0.091
pert	11	0.636
pest	11	0.364
playback	11	0.273
pleasure	11	0.545
pond	11	0.545
powerhouse	11	0.545
proportional	11	0.273
pulley	11	0.091
putrid	11	0.000
rack	11	0.545
rapture	11	0.364
rational	11	0.636
reduce	11	0.455
reflection	11	0.545
regression	11	0.545
regulation	11	0.545
residential	11	0.364
resilience	11	0.455
rune	11	0.636
samadhi	11	0.364
sclerosis	11	0.182
seeker	11	0.364
sink	11	0.182
slag	11	0.091
sludge	11	0.273
smoking	11	0.182
speakernya	11	0.364
specification	11	0.364
spicy	11	0.545
spiker	11	0.182
spinalis	11	0.000
stalking	11	0.091
stereotype	11	0.182
suede	11	0.091
supplement	11	0.273
surcharge	11	0.000
surfer	11	0.636
syntax	11	0.273
tannin	11	0.091
tempered	11	0.091
tethering	11	0.091
thumbnail	11	0.000
tolerance	11	0.273
toward	11	0.636
tubeless	11	0.000
tweetnya	11	0.000
victim	11	0.636
visible	11	0.273
waitress	11	0.182
within	11	0.545
yahoofinance	11	0.364
zipper	11	0.273
accountable	10	0.200
advertiser	10	0.500
agile	10	0.300
alveoli	10	0.100
amplitude	10	0.200
architect	10	0.600
aspect	10	0.300
attunement	10	0.300
bare	10	0.500
biggest	10	0.500
bioreaktor	10	0.300
birdie	10	0.400
blanket	10	0.200
blonde	10	0.300
boundary	10	0.100
breakthrough	10	0.400
breed	10	0.500
bring	10	0.600
brucellosis	10	0.300
camshaft	10	0.300
checking	10	0.300
clone	10	0.600
cognitive	10	0.500
collision	10	0.600
communicator	10	0.500
configuration	10	0.400
correction	10	0.400
creating	10	0.500
cyclone	10	0.600
dextro	10	0.400
dibackup	10	0.000
dibooking	10	0.100
difference	10	0.500
diligence	10	0.000
disinfectant	10	0.300
dovish	10	0.000
dusty	10	0.500
efficient	10	0.500
equinox	10	0.500
executable	10	0.100
expire	10	0.100
extrovert	10	0.000
fake	10	0.500
fiction	10	0.400
fierce	10	0.000
fistula	10	0.100
fithrah	10	0.100
flour	10	0.500
foodcourt	10	0.400
footer	10	0.000
fork	10	0.300
frontage	10	0.600
galena	10	0.500
gearing	10	0.200
gifted	10	0.300
goggle	10	0.600
goring	10	0.100
gown	10	0.300
grinding	10	0.200
handsfree	10	0.000
immaterial	10	0.000
incest	10	0.100
indepth	10	0.300
indirect	10	0.100
induction	10	0.400
infant	10	0.500
ingot	10	0.300
inline	10	0.100
interfaith	10	0.600
interpretation	10	0.300
investigative	10	0.200
irreversible	10	0.100
jamboree	10	0.500
jobless	10	0.100
kenwood	10	0.500
keyless	10	0.100
khaki	10	0.200
koban	10	0.200
komitment	10	0.100
learner	10	0.200
loudspeaker	10	0.200
many	10	0.600
mater	10	0.500
means	10	0.300
measures	10	0.400
medulla	10	0.200
megalodon	10	0.500
methane	10	0.500
mortality	10	0.300
nutrient	10	0.300
oleat	10	0.000
overclocking	10	0.300
overweight	10	0.200
pallet	10	0.500
pear	10	0.300
permission	10	0.200
pillow	10	0.500
pinguin	10	0.400
possible	10	0.200
precision	10	0.600
preorder	10	0.100
prepare	10	0.300
presence	10	0.300
promote	10	0.500
pulmonal	10	0.000
purse	10	0.300
receptor	10	0.300
reject	10	0.300
restocking	10	0.100
restricted	10	0.200
rheumatoid	10	0.100
robust	10	0.100
roster	10	0.100
scandal	10	0.500
semantic	10	0.500
serve	10	0.100
sheets	10	0.400
sift	10	0.000
simply	10	0.600
sloka	10	0.200
smoothies	10	0.300
snapshot	10	0.100
specific	10	0.200
spit	10	0.300
stationary	10	0.500
stiletto	10	0.300
struggle	10	0.200
subjective	10	0.300
supervisory	10	0.500
surety	10	0.200
terrorist	10	0.400
terse	10	0.000
testpack	10	0.100
theologia	10	0.200
thypoid	10	0.300
tirtha	10	0.500
toxin	10	0.000
tradable	10	0.000
trakea	10	0.000
tricky	10	0.100
trolley	10	0.400
troops	10	0.400
troubleshooting	10	0.000
trout	10	0.200
tulle	10	0.200
turtleneck	10	0.100
undecided	10	0.000
unusual	10	0.600
vapor	10	0.600
vernier	10	0.100
visor	10	0.300
vortex	10	0.200
waxing	10	0.100
wheelbase	10	0.200
whisky	10	0.300
worker	10	0.200
workout	10	0.400
yahoosport	10	0.400
zircon	10	0.300
zoster	10	0.300
